iter	Passed	Remaining
0	65	65487
1	112	56239
2	161	53703
3	205	51093
4	246	49066
5	309	51253
6	361	51331
7	413	51322
8	464	51160
9	513	50787
10	575	51732
11	622	51266
12	676	51394
13	723	50940
14	766	50341
15	807	49658
16	848	49049
17	885	48298
18	926	47857
19	972	47664
20	1013	47249
21	1057	47030
22	1102	46846
23	1144	46547
24	1185	46219
25	1227	45967
26	1270	45797
27	1313	45586
28	1357	45437
29	1402	45344
30	1445	45190
31	1490	45072
32	1536	45038
33	1577	44806
34	1625	44806
35	1664	44577
36	1706	44420
37	1752	44354
38	1798	44318
39	1841	44201
40	1892	44257
41	1935	44152
42	1975	43955
43	2017	43830
44	2055	43626
45	2097	43498
46	2142	43445
47	2186	43368
48	2224	43177
49	2269	43126
50	2312	43031
51	2356	42966
52	2401	42911
53	2438	42711
54	2477	42571
55	2524	42553
56	2561	42383
57	2602	42269
58	2646	42209
59	2689	42134
60	2732	42056
61	2773	41957
62	2820	41953
63	2864	41894
64	2905	41799
65	2951	41767
66	2993	41679
67	3031	41553
68	3073	41469
69	3119	41445
70	3159	41343
71	3205	41309
72	3248	41252
73	3288	41154
74	3335	41135
75	3373	41015
76	3415	40944
77	3462	40928
78	3503	40840
79	3543	40746
80	3587	40698
81	3630	40644
82	3669	40539
83	3714	40508
84	3759	40470
85	3799	40385
86	3843	40330
87	3886	40281
88	3928	40209
89	3969	40133
90	4017	40135
91	4057	40042
92	4097	39959
93	4140	39903
94	4184	39864
95	4225	39792
96	4271	39761
97	4311	39683
98	4352	39613
99	4393	39539
100	4435	39477
101	4477	39421
102	4521	39372
103	4560	39287
104	4608	39281
105	4658	39287
106	4698	39212
107	4743	39178
108	4783	39104
109	4827	39057
110	4867	38980
111	4912	38949
112	4956	38909
113	4999	38852
114	5038	38775
115	5082	38734
116	5131	38725
117	5172	38665
118	5211	38579
119	5250	38507
120	5293	38457
121	5332	38378
122	5374	38324
123	5415	38260
124	5455	38191
125	5502	38168
126	5542	38101
127	5584	38044
128	5627	37999
129	5669	37940
130	5713	37901
131	5755	37843
132	5795	37781
133	5842	37757
134	5884	37701
135	5930	37678
136	5970	37611
137	6012	37558
138	6051	37487
139	6098	37460
140	6137	37392
141	6178	37329
142	6221	37284
143	6262	37227
144	6305	37180
145	6346	37121
146	6388	37070
147	6429	37015
148	6471	36962
149	6510	36895
150	6550	36829
151	6588	36756
152	6629	36700
153	6669	36638
154	6715	36611
155	6752	36531
156	6792	36470
157	6834	36423
158	6873	36356
159	6916	36309
160	6957	36258
161	7000	36210
162	7040	36152
163	7082	36102
164	7120	36035
165	7159	35971
166	7204	35935
167	7242	35869
168	7291	35851
169	7334	35807
170	7374	35750
171	7417	35708
172	7459	35659
173	7497	35592
174	7541	35554
175	7586	35520
176	7627	35463
177	7665	35401
178	7706	35344
179	7745	35285
180	7788	35243
181	7830	35192
182	7871	35142
183	7916	35108
184	7957	35056
185	8000	35012
186	8049	34996
187	8093	34958
188	8134	34906
189	8181	34877
190	8221	34822
191	8266	34786
192	8310	34747
193	8355	34713
194	8393	34651
195	8437	34609
196	8478	34557
197	8522	34518
198	8566	34479
199	8611	34446
200	8657	34413
201	8696	34355
202	8739	34313
203	8785	34282
204	8830	34245
205	8872	34198
206	8919	34168
207	8961	34123
208	9011	34106
209	9053	34058
210	9092	34001
211	9137	33963
212	9179	33915
213	9222	33871
214	9263	33821
215	9307	33784
216	9349	33733
217	9392	33692
218	9434	33645
219	9478	33607
220	9522	33566
221	9564	33517
222	9609	33482
223	9653	33442
224	9691	33383
225	9734	33338
226	9778	33297
227	9818	33244
228	9858	33191
229	9905	33161
230	9948	33117
231	9994	33086
232	10036	33038
233	10076	32987
234	10115	32930
235	10155	32875
236	10195	32824
237	10240	32786
238	10281	32738
239	10324	32693
240	10372	32668
241	10418	32631
242	10455	32569
243	10496	32522
244	10546	32498
245	10591	32464
246	10635	32422
247	10679	32383
248	10720	32334
249	10761	32284
250	10806	32245
251	10850	32206
252	10890	32156
253	10938	32125
254	10979	32077
255	11018	32022
256	11060	31975
257	11104	31936
258	11148	31895
259	11192	31856
260	11236	31815
261	11281	31777
262	11321	31725
263	11358	31665
264	11402	31626
265	11447	31588
266	11491	31549
267	11537	31512
268	11574	31454
269	11615	31405
270	11657	31358
271	11709	31340
272	11757	31309
273	11800	31265
274	11845	31228
275	11889	31188
276	11935	31153
277	11978	31108
278	12029	31085
279	12077	31057
280	12130	31038
281	12176	31001
282	12231	30989
283	12278	30955
284	12324	30918
285	12370	30884
286	12413	30838
287	12459	30803
288	12500	30754
289	12546	30716
290	12591	30677
291	12637	30640
292	12677	30591
293	12722	30551
294	12768	30514
295	12808	30464
296	12851	30418
297	12896	30380
298	12939	30336
299	12980	30287
300	13024	30245
301	13068	30204
302	13106	30150
303	13150	30107
304	13198	30076
305	13247	30044
306	13295	30011
307	13338	29968
308	13390	29945
309	13433	29901
310	13476	29855
311	13521	29816
312	13562	29768
313	13607	29727
314	13651	29687
315	13693	29641
316	13732	29587
317	13780	29555
318	13822	29508
319	13862	29457
320	13903	29408
321	13942	29356
322	13984	29311
323	14024	29260
324	14065	29213
325	14109	29170
326	14153	29129
327	14197	29087
